,open,close,high,low,total_turnover,volume
2009-12-09 14:47:00,4.1953,4.1953,4.2008,4.1953,6017401.0,1127706.0
2009-12-09 14:48:00,4.1953,4.2008,4.2008,4.1953,6517031.0,1221323.0
2009-12-09 14:49:00,4.2008,4.2008,4.2008,4.1953,6990279.0,1309761.0
2009-12-09 14:50:00,4.1953,4.2062,4.2062,4.1953,11580716.0,2168244.0
2009-12-09 14:51:00,4.2008,4.2062,4.2062,4.2008,6752118.0,1264150.0
2009-12-09 14:52:00,4.2008,4.2062,4.2062,4.2008,7773416.0,1454674.0
2009-12-09 14:53:00,4.2062,4.2062,4.2062,4.2008,5825611.0,1090081.0
2009-12-09 14:54:00,4.2062,4.2062,4.2062,4.2062,10087768.0,1887015.0
2009-12-09 14:55:00,4.2117,4.2062,4.2117,4.2062,7993919.0,1494245.0
2009-12-09 14:56:00,4.2117,4.2062,4.2117,4.2062,8182418.0,1529899.0
2009-12-09 14:57:00,4.2062,4.2062,4.2117,4.2062,3416881.0,638980.0
2009-12-09 14:58:00,4.2062,4.2117,4.2117,4.2062,6606932.0,1235304.0
2009-12-09 14:59:00,4.2062,4.2117,4.2117,4.2062,5097020.0,952963.0
2009-12-09 15:00:00,4.2117,4.2062,4.2117,4.2008,13800816.0,2580811.0
2009-12-10 09:31:00,4.239,4.2554,4.2608,4.239,15335463.0,2840134.0
2009-12-10 09:32:00,4.2608,4.2499,4.2608,4.2445,7925079.0,1466078.0
2009-12-10 09:33:00,4.2554,4.2499,4.2554,4.2499,9330021.0,1727280.0
2009-12-10 09:34:00,4.2499,4.2445,4.2499,4.2445,6866857.0,1272089.0
2009-12-10 09:35:00,4.2445,4.2554,4.2554,4.239,11028569.0,2041639.0
2009-12-10 09:36:00,4.2554,4.2554,4.2608,4.2499,7865827.0,1454505.0
2009-12-10 09:37:00,4.2608,4.2663,4.2718,4.2608,9620206.0,1775272.0
2009-12-10 09:38:00,4.2663,4.2718,4.2718,4.2663,4285031.0,789535.0
2009-12-10 09:39:00,4.2663,4.2663,4.2663,4.2608,12159217.0,2243472.0
2009-12-10 09:40:00,4.2608,4.2608,4.2608,4.2554,6272435.0,1158396.0
2009-12-10 09:41:00,4.2608,4.2608,4.2608,4.2554,3869436.0,714499.0
2009-12-10 09:42:00,4.2663,4.2608,4.2663,4.2608,4721382.0,870984.0
2009-12-10 09:43:00,4.2608,4.2608,4.2663,4.2608,6656658.0,1228493.0
2009-12-10 09:44:00,4.2608,4.2608,4.2608,4.2554,6231772.0,1150963.0
2009-12-10 09:45:00,4.2608,4.2499,4.2608,4.2499,12973223.0,2395757.0
2009-12-10 09:46:00,4.2554,4.2554,4.2608,4.2499,4589237.0,848448.0
2009-12-10 09:47:00,4.2554,4.2554,4.2608,4.2554,5353459.0,989292.0
2009-12-10 09:48:00,4.2554,4.2608,4.2608,4.2554,9693636.0,1791432.0
2009-12-10 09:49:00,4.2608,4.2608,4.2608,4.2554,5012571.0,925560.0
2009-12-10 09:50:00,4.2608,4.2663,4.2663,4.2608,9445466.0,1742877.0
2009-12-10 09:51:00,4.2663,4.2718,4.2718,4.2608,5189710.0,956291.0
2009-12-10 09:52:00,4.2718,4.2663,4.2718,4.2663,5883480.0,1083869.0
2009-12-10 09:53:00,4.2718,4.2663,4.2718,4.2663,5176981.0,954019.0
2009-12-10 09:54:00,4.2663,4.2663,4.2663,4.2608,3922981.0,723456.0
2009-12-10 09:55:00,4.2608,4.2663,4.2663,4.2608,6530926.0,1204992.0
2009-12-10 09:56:00,4.2663,4.2608,4.2663,4.2608,3922584.0,723600.0
2009-12-10 09:57:00,4.2663,4.2663,4.2663,4.2608,3399175.0,626976.0
2009-12-10 09:58:00,4.2608,4.2663,4.2663,4.2608,5359179.0,988533.0
2009-12-10 09:59:00,4.2663,4.2663,4.2718,4.2608,10796913.0,1991628.0
2009-12-10 10:00:00,4.2608,4.2554,4.2608,4.2554,8324306.0,1537537.0
2009-12-10 10:01:00,4.2554,4.2499,4.2554,4.2499,3326571.0,615227.0
2009-12-10 10:02:00,4.2554,4.2499,4.2554,4.2499,3438380.0,636108.0
2009-12-10 10:03:00,4.2499,4.2499,4.2554,4.2499,4600785.0,850752.0
2009-12-10 10:04:00,4.2499,4.2554,4.2608,4.2499,2086887.0,385749.0
2009-12-10 10:05:00,4.2608,4.2554,4.2608,4.2499,2631377.0,486576.0
2009-12-10 10:06:00,4.2554,4.2499,4.2608,4.2499,3492074.0,645624.0
2009-12-10 10:07:00,4.2499,4.2554,4.2608,4.2499,1903813.0,351936.0
2009-12-10 10:08:00,4.2554,4.2554,4.2554,4.2554,4562972.0,843723.0
2009-12-10 10:09:00,4.2554,4.2499,4.2554,4.2499,4752201.0,879120.0
2009-12-10 10:10:00,4.2554,4.2445,4.2554,4.2445,2984044.0,552336.0
2009-12-10 10:11:00,4.2445,4.2445,4.2554,4.2445,7395250.0,1369368.0
2009-12-10 10:12:00,4.2499,4.2499,4.2554,4.2445,4390505.0,812304.0
2009-12-10 10:13:00,4.2499,4.2554,4.2554,4.2499,1941838.0,359523.0
2009-12-10 10:14:00,4.2554,4.2554,4.2554,4.2499,2605382.0,481977.0
2009-12-10 10:15:00,4.2554,4.2499,4.2554,4.2499,3467330.0,641520.0
2009-12-10 10:16:00,4.2499,4.2499,4.2554,4.2499,5326880.0,984874.0
2009-12-10 10:17:00,4.2499,4.2608,4.2608,4.2499,9198857.0,1700441.0
2009-12-10 10:18:00,4.2608,4.2608,4.2663,4.2608,8935545.0,1649599.0
2009-12-10 10:19:00,4.2663,4.2663,4.2663,4.2608,10827229.0,1997245.0
2009-12-10 10:20:00,4.2663,4.2663,4.2663,4.2608,2631084.0,485280.0
2009-12-10 10:21:00,4.2663,4.2663,4.2663,4.2608,5565468.0,1026338.0
2009-12-10 10:22:00,4.2663,4.2718,4.2718,4.2663,5475282.0,1009319.0
2009-12-10 10:23:00,4.2718,4.2718,4.2718,4.2663,5700119.0,1050323.0
2009-12-10 10:24:00,4.2718,4.2718,4.2718,4.2663,7117453.0,1311709.0
2009-12-10 10:25:00,4.2718,4.2663,4.2718,4.2663,7109190.0,1309507.0
2009-12-10 10:26:00,4.2663,4.2663,4.2663,4.2608,4279741.0,789149.0
2009-12-10 10:27:00,4.2663,4.2663,4.2663,4.2608,2725847.0,502841.0
2009-12-10 10:28:00,4.2663,4.2663,4.2663,4.2608,2540097.0,468346.0
2009-12-10 10:29:00,4.2663,4.2663,4.2718,4.2663,1792486.0,330265.0
2009-12-10 10:30:00,4.2663,4.2663,4.2718,4.2663,3513537.0,647424.0
2009-12-10 10:31:00,4.2663,4.2718,4.2718,4.2663,2879359.0,530640.0
2009-12-10 10:32:00,4.2718,4.2718,4.2718,4.2663,3764660.0,693778.0
2009-12-10 10:33:00,4.2718,4.2718,4.2718,4.2663,5342886.0,984174.0
2009-12-10 10:34:00,4.2718,4.2718,4.2718,4.2718,7141454.0,1315339.0
2009-12-10 10:35:00,4.2718,4.2718,4.2772,4.2718,4593998.0,846010.0
2009-12-10 10:36:00,4.2718,4.2772,4.2772,4.2663,5466008.0,1006474.0
2009-12-10 10:37:00,4.2772,4.2718,4.2772,4.2718,5668970.0,1043742.0
2009-12-10 10:38:00,4.2718,4.2663,4.2772,4.2663,4842694.0,891694.0
2009-12-10 10:39:00,4.2718,4.2663,4.2718,4.2663,1840417.0,339034.0
2009-12-10 10:40:00,4.2663,4.2718,4.2718,4.2663,1793767.0,330614.0
2009-12-10 10:41:00,4.2718,4.2663,4.2718,4.2663,2512138.0,462960.0
2009-12-10 10:42:00,4.2663,4.2663,4.2718,4.2608,2616727.0,482403.0
2009-12-10 10:43:00,4.2663,4.2608,4.2663,4.2608,7003461.0,1292865.0
2009-12-10 10:44:00,4.2554,4.2554,4.2608,4.2554,4207636.0,777524.0
2009-12-10 10:45:00,4.2554,4.2499,4.2554,4.2499,2268818.0,419548.0
2009-12-10 10:46:00,4.2554,4.2499,4.2554,4.2499,1616805.0,299088.0
2009-12-10 10:47:00,4.2499,4.2608,4.2608,4.2499,1919219.0,354879.0
2009-12-10 10:48:00,4.2554,4.2554,4.2608,4.2499,1426084.0,263520.0
2009-12-10 10:49:00,4.2608,4.2554,4.2608,4.2554,2216611.0,409393.0
2009-12-10 10:50:00,4.2554,4.2608,4.2608,4.2554,2030785.0,375120.0
2009-12-10 10:51:00,4.2554,4.2608,4.2608,4.2554,1116248.0,206122.0
2009-12-10 10:52:00,4.2608,4.2554,4.2608,4.2554,1193410.0,220464.0
2009-12-10 10:53:00,4.2608,4.2554,4.2608,4.2554,2745695.0,507397.0
2009-12-10 10:54:00,4.2554,4.2554,4.2554,4.2499,3027980.0,559932.0
2009-12-10 10:55:00,4.2499,4.2499,4.2554,4.2499,1224268.0,226512.0
2009-12-10 10:56:00,4.2499,4.2499,4.2554,4.2499,8904483.0,1648100.0
2009-12-10 10:57:00,4.2445,4.2445,4.2499,4.2445,1888062.0,349762.0
2009-12-10 10:58:00,4.2445,4.239,4.2445,4.2335,26510156.0,4919458.0
2009-12-10 10:59:00,4.2335,4.2335,4.2445,4.2335,2423866.0,449568.0
2009-12-10 11:00:00,4.2445,4.2445,4.2445,4.239,3043797.0,564538.0
2009-12-10 11:01:00,4.239,4.2445,4.2445,4.239,1977027.0,366653.0
2009-12-10 11:02:00,4.2445,4.2445,4.2445,4.239,3226816.0,598205.0
2009-12-10 11:03:00,4.239,4.239,4.2445,4.239,3618155.0,671357.0
2009-12-10 11:04:00,4.239,4.2281,4.239,4.2281,5008796.0,930672.0
2009-12-10 11:05:00,4.2281,4.2281,4.2335,4.2226,4926607.0,916488.0
2009-12-10 11:06:00,4.2281,4.2445,4.2445,4.2281,7480399.0,1389600.0
2009-12-10 11:07:00,4.2445,4.239,4.2445,4.2335,1274352.0,236592.0
2009-12-10 11:08:00,4.2335,4.239,4.2445,4.2335,1733996.0,321682.0
2009-12-10 11:09:00,4.239,4.2445,4.2445,4.239,2056288.0,381246.0
2009-12-10 11:10:00,4.2445,4.2445,4.2499,4.239,1804203.0,334341.0
2009-12-10 11:11:00,4.2445,4.2445,4.2499,4.2445,1270748.0,235467.0
2009-12-10 11:12:00,4.2445,4.239,4.2445,4.239,3891978.0,722498.0
2009-12-10 11:13:00,4.239,4.239,4.239,4.2335,766585.0,142272.0
2009-12-10 11:14:00,4.239,4.2445,4.2445,4.2335,4119435.0,764640.0
2009-12-10 11:15:00,4.2445,4.2335,4.2445,4.2335,2268657.0,420768.0
2009-12-10 11:16:00,4.239,4.239,4.2445,4.239,2192298.0,406627.0
2009-12-10 11:17:00,4.2445,4.239,4.2445,4.2335,2311010.0,428777.0
2009-12-10 11:18:00,4.2335,4.2445,4.2445,4.2335,2080738.0,386083.0
2009-12-10 11:19:00,4.239,4.239,4.239,4.239,3583412.0,665411.0
2009-12-10 11:20:00,4.239,4.239,4.239,4.2335,1413401.0,262368.0
2009-12-10 11:21:00,4.239,4.2335,4.2445,4.2335,3716829.0,690530.0
2009-12-10 11:22:00,4.2335,4.239,4.239,4.2281,2039767.0,379267.0
2009-12-10 11:23:00,4.2335,4.2281,4.2335,4.2281,802546.0,149141.0
2009-12-10 11:24:00,4.2281,4.2335,4.2335,4.2281,1630400.0,303044.0
2009-12-10 11:25:00,4.2335,4.2281,4.2335,4.2281,2977270.0,553586.0
2009-12-10 11:26:00,4.2281,4.2335,4.239,4.2281,2375769.0,441792.0
